,bigrams,bigrams_freq,trigrams,trigrams_freq
0,white house,3041.0,hill street suite,1975.0
1,capitol hill,2232.0,street suite washington,1975.0
2,donald trump,2185.0,suite washington tel,1975.0
3,content site,1980.0,washington tel fax,1975.0
4,street suite,1978.0,tel fax content,1975.0
5,hill street,1976.0,fax content site,1975.0
6,hill publish,1976.0,content site capitol,1975.0
7,corp subsidiary,1976.0,site capitol hill,1975.0
8,suite washington,1975.0,capitol hill publish,1975.0
9,washington tel,1975.0,hill publish corp,1975.0
10,tel fax,1975.0,publish corp subsidiary,1975.0
11,fax content,1975.0,corp subsidiary news,1975.0
12,site capitol,1975.0,subsidiary news communication,1975.0
13,publish corp,1975.0,view discussion thread,1902.0
14,subsidiary news,1975.0,discussion thread hill,1804.0
15,news communication,1975.0,thread hill street,1804.0
16,view discussion,1903.0,president donald trump,997.0
17,discussion thread,1903.0,hill morning report,555.0
18,thread hill,1804.0,president trumpdonald john,536.0
19,president trump,1480.0,morning report trump,322.0
20,trump administration,1137.0,trumpdonald john trumptrump,312.0
21,vice president,1085.0,source text eikon,298.0
22,president donald,1023.0,text eikon company,288.0
23,north korea,1002.0,eikon company coverage,288.0
24,social medium,987.0,lawmaker apologize photo,288.0
25,york time,930.0,apologize photo depict,288.0
26,health care,842.0,photo depict mock,288.0
27,supreme court,839.0,depict mock assassination,288.0
28,prime minister,783.0,mock assassination trump,288.0
29,trumpdonald john,763.0,assemble team cabinet,288.0
30,hong kong,758.0,team cabinet speak,288.0
31,los angeles,756.0,cabinet speak trump,288.0
32,national security,751.0,push poll data,287.0
33,central bank,714.0,poll data internal,287.0
34,wall street,656.0,data internal strongest,287.0
35,york city,650.0,scaramucci assemble team,287.0
36,chief executive,609.0,john trumptrump push,285.0
37,hillary clinton,585.0,trumptrump push poll,285.0
38,morning report,571.0,internal strongest illinois,285.0
39,climate change,557.0,strongest illinois lawmaker,285.0
40,hill morning,556.0,illinois lawmaker apologize,285.0
41,trump campaign,553.0,assassination trump scaramucci,285.0
42,contribute report,549.0,trump scaramucci assemble,285.0
43,president trumpdonald,536.0,reid decriminalizing border,282.0
44,saudi arabia,525.0,decriminalizing border crossing,282.0
45,law enforcement,520.0,border crossing top,282.0
46,european union,514.0,crossing top list,282.0
47,justice department,506.0,vice president joe,263.0
48,company coverage,475.0,respond request comment,235.0
49,source text,454.0,president barack obama,218.0
50,report trump,438.0,donald trumpdonald john,204.0
51,democratic presidential,421.0,happen president overlook,197.0
52,federal reserve,419.0,president overlook key,197.0
53,san francisco,412.0,clintonhillary diane rodham,196.0
54,democratic party,406.0,trumpdonald john trumpfacebook,196.0
55,south carolina,405.0,john trumpfacebook release,196.0
56,south korea,403.0,trumpfacebook release audit,196.0
57,trade war,397.0,release audit conservative,196.0
58,real estate,392.0,audit conservative bias,196.0
59,north korean,391.0,conservative bias claim,196.0
60,special counsel,387.0,bias claim harry,196.0
61,stock market,381.0,claim harry reid,196.0
62,bernie sander,381.0,harry reid decriminalizing,196.0
63,rise percent,379.0,top list recession,196.0
64,washington post,370.0,list recession happen,196.0
65,earlier month,369.0,recession happen president,196.0
66,request comment,362.0,wall street journal,194.0
67,police officer,361.0,hillary clintonhillary diane,190.0
68,percent percent,359.0,trump golden opportunity,168.0
69,presidential candidate,355.0,golden opportunity gun,168.0
70,decline comment,353.0,opportunity gun reform,168.0
71,middle east,353.0,national security adviser,166.0
72,fox news,348.0,manchin trump golden,166.0
73,presidential campaign,341.0,special counsel robert,165.0
74,presidential election,335.0,senate majority leader,165.0
75,federal government,335.0,majority leader mitch,156.0
76,barack obama,335.0,news communication president,152.0
77,puerto rico,333.0,trump drive global,150.0
78,obama administration,330.0,drive global economy,150.0
79,president obama,329.0,global economy recession,150.0
80,united nation,327.0,economy recession manchin,148.0
81,oil price,325.0,recession manchin trump,148.0
82,news conference,324.0,potential nh senate,147.0
83,trade deal,314.0,nh senate win,147.0
84,john trumptrump,312.0,white house press,146.0
85,speak trump,309.0,president joe biden,142.0
86,poll data,306.0,white house official,140.0
87,trump tweet,304.0,pilot astronaut matchup,140.0
88,top list,299.0,astronaut matchup arizona,140.0
89,border crossing,299.0,matchup arizona determine,140.0
90,text eikon,298.0,arizona determine control,140.0
91,north carolina,296.0,determine control senate,140.0
92,move forward,295.0,gop challenger trump,137.0
93,air force,293.0,challenger trump deserve,137.0
94,additional reporting,291.0,trump deserve reelection,137.0
95,tax cut,290.0,deserve reelection vote,137.0
96,cabinet speak,290.0,reelection vote democrat,137.0
97,assemble team,290.0,report trump israelsquad,136.0
98,economic growth,289.0,trump israelsquad controversy,136.0
99,eikon company,288.0,trumpdonald john trumppossible,131.0
